id_emp,latitude,longitude,type
2661351,-20.5321,-49.3123,FINAL
2662092,-23.5329,-46.6395,FINAL
2662184,-23.6737,-46.5432,FINAL
2662228,-23.4538,-46.5333,FINAL
2662313,-23.4969,-47.4451,FINAL
2662526,-23.4969,-47.4451,FINAL
2662642,-21.921,-50.7357,FINAL
2662960,-23.5329,-46.6395,FINAL
2663614,-23.5329,-46.6395,FINAL
2663749,-23.6022,-46.919,FINAL
2663797,-23.6677,-46.4613,FINAL
2664091,-23.9888,-46.258,FINAL
2664700,-23.4332,-45.0834,FINAL
2664864,-22.7374,-47.3331,FINAL
2665038,-23.4538,-46.5333,PTO_IBAMA
2665259,-23.4332,-45.0834,FINAL
2665963,-23.5208,-46.1854,FINAL
2666118,-22.7338,-47.6476,FINAL
2666167,-23.1896,-45.8841,FINAL
2666247,-23.5329,-46.6395,FINAL
2666301,-23.6022,-46.919,FINAL
2666521,-23.0035,-46.8464,FINAL
2667278,-23.9535,-46.335,PTO_IBAMA
2667310,-23.0035,-46.8464,FINAL
2667398,-21.2749,-47.303,FINAL
2667570,-23.5329,-46.6395,FINAL
2668576,-23.1852,-46.8974,PTO_IBAMA
2668669,-23.0035,-46.8464,PTO_IBAMA
2669119,-22.8075,-45.1938,FINAL
2669354,-23.3965,-46.32,FINAL
2669531,-21.5953,-46.8873,FINAL
2669790,-23.4332,-45.0834,PTO_IBAMA
2670112,-23.5208,-46.1854,FINAL
2670237,-23.5448,-46.3112,FINAL
2670473,-23.5057,-46.879,FINAL
2671249,-23.5329,-46.6395,FINAL
2671498,-20.9511,-49.1713,FINAL
2671944,-20.4611,-47.1222,FINAL
2671998,-22.2171,-49.9501,FINAL
2672017,-22.9527,-46.5419,PTO_IBAMA
2672111,-23.5329,-46.6395,FINAL
2672174,-23.8297,-46.8136,PTO_IBAMA
2672340,-23.5329,-46.6395,FINAL
2672535,-23.5329,-46.6395,FINAL
2672576,-23.5398,-47.185,FINAL
2672755,-20.6228,-49.6563,PTO_IBAMA
2672760,-23.7951,-45.4143,FINAL
2672919,-23.5329,-46.6395,PTO_IBAMA
2672928,-23.9888,-46.258,FINAL
2673502,-23.499,-46.6292,PTO_IBAMA
2673888,-23.4332,-45.0834,FINAL
2673996,-23.5329,-46.6395,FINAL
2674072,-23.3171,-46.5897,FINAL
2674448,-22.2171,-49.9501,FINAL
2674614,-23.7785,-45.3552,FINAL
2674654,-23.2983,-45.9658,FINAL
2674688,-23.5329,-46.6395,PTO_IBAMA
2674820,-20.4237,-49.9781,PTO_IBAMA
2674880,-23.4332,-45.0834,PTO_IBAMA
2674892,-23.4538,-46.5333,PTO_IBAMA
2675037,-23.4969,-47.4451,FINAL
2675041,-23.5329,-46.6395,FINAL
2675581,-23.5329,-46.6395,FINAL
